CustomerID,Description,Quantity
12346.0,MEDIUM CERAMIC TOP STORAGE JAR,74215
12347.0,3D DOG PICTURE PLAYING CARDS,126
12347.0,3D SHEET OF CAT STICKERS,12
12347.0,3D SHEET OF DOG STICKERS,12
12347.0,60 TEATIME FAIRY CAKE CASES,72
12347.0,72 SWEETHEART FAIRY CAKE CASES,72
12347.0,AIRLINE BAG VINTAGE JET SET BROWN,28
12347.0,AIRLINE BAG VINTAGE JET SET RED,16
12347.0,AIRLINE BAG VINTAGE JET SET WHITE,12
12347.0,AIRLINE BAG VINTAGE TOKYO 78,32
12347.0,AIRLINE BAG VINTAGE WORLD CHAMPION ,8
12347.0,ALARM CLOCK BAKELIKE CHOCOLATE,20
12347.0,ALARM CLOCK BAKELIKE GREEN,16
12347.0,ALARM CLOCK BAKELIKE ORANGE,8
12347.0,ALARM CLOCK BAKELIKE PINK,16
12347.0,ALARM CLOCK BAKELIKE RED ,36
12347.0,BATHROOM METAL SIGN ,12
12347.0,BICYCLE PUNCTURE REPAIR KIT ,6
12347.0,BIRDCAGE DECORATION TEALIGHT HOLDER,12
12347.0,BLACK CANDELABRA T-LIGHT HOLDER,18
12347.0,BLACK EAR MUFF HEADPHONES,12
12347.0,BLACK GRAND BAROQUE PHOTO FRAME,30
12347.0,BLUE 3 PIECE POLKADOT CUTLERY SET,6
12347.0,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,12
12347.0,BLUE NEW BAROQUE CANDLESTICK CANDLE,24
12347.0,BOOM BOX SPEAKER BOYS,30
12347.0,BOX OF 6 ASSORTED COLOUR TEASPOONS,12
12347.0,CAMOUFLAGE EAR MUFF HEADPHONES,6
12347.0,CHOCOLATE CALCULATOR,12
12347.0,CHRISTMAS METAL TAGS ASSORTED ,12
12347.0,CHRISTMAS TABLE SILVER CANDLE SPIKE,16
12347.0,CLASSIC CHROME BICYCLE BELL ,12
12347.0,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12
12347.0,COLOUR GLASS. STAR T-LIGHT HOLDER,12
12347.0,EMERGENCY FIRST AID TIN ,12
12347.0,"FEATHER PEN,COAL BLACK",12
12347.0,FOOD CONTAINER SET 3 LOVE HEART ,6
12347.0,FOUR HOOK  WHITE LOVEBIRDS,6
12347.0,GIFT BAG PSYCHEDELIC APPLES,12
12347.0,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12
12347.0,GREEN REGENCY TEACUP AND SAUCER,12
12347.0,HOLIDAY FUN LUDO,8
12347.0,ICE CREAM SUNDAE LIP GLOSS,240
12347.0,LARGE HEART MEASURING SPOONS,48
12347.0,MADRAS NOTEBOOK MEDIUM,12
12347.0,MINI LADLE LOVE HEART RED ,12
12347.0,MINI LIGHTS WOODLAND MUSHROOMS,12
12347.0,MINI PAINT SET VINTAGE ,108
12347.0,MINI PLAYING CARDS DOLLY GIRL ,40
12347.0,MINI PLAYING CARDS SPACEBOY ,40
12347.0,NAMASTE SWAGAT INCENSE,36
12347.0,PACK OF 60 DINOSAUR CAKE CASES,48
12347.0,PACK OF 60 MUSHROOM CAKE CASES,48
12347.0,PACK OF 60 SPACEBOY CAKE CASES,48
12347.0,PANTRY HOOK BALLOON WHISK ,12
12347.0,PANTRY HOOK SPATULA,12
12347.0,PANTRY HOOK TEA STRAINER ,12
12347.0,PINK 3 PIECE POLKADOT CUTLERY SET,6
12347.0,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12
12347.0,PINK GOOSE FEATHER TREE 60CM,24
12347.0,PINK NEW BAROQUECANDLESTICK CANDLE,48
12347.0,PINK REGENCY TEACUP AND SAUCER,12
12347.0,PLAYING CARDS KEEP CALM & CARRY ON,12
12347.0,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,12
12347.0,RABBIT NIGHT LIGHT,84
12347.0,RED 3 PIECE RETROSPOT CUTLERY SET,6
12347.0,RED DRAWER KNOB ACRYLIC EDWARDIAN,24
12347.0,RED REFECTORY CLOCK ,12
12347.0,RED RETROSPOT OVEN GLOVE ,10
12347.0,RED RETROSPOT OVEN GLOVE DOUBLE,12
12347.0,RED RETROSPOT PURSE ,6
12347.0,RED TOADSTOOL LED NIGHT LIGHT,72
12347.0,REGENCY CAKESTAND 3 TIER,15
12347.0,REGENCY MILK JUG PINK ,8
12347.0,REGENCY SUGAR BOWL GREEN,4
12347.0,REGENCY TEA PLATE GREEN ,12
