Description,Quantity,Revenue
"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6
MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001
WORLD WAR 2 GLIDERS ASSTD DESIGNS,54319,13558.41
JUMBO BAG RED RETROSPOT,46078,85040.54000000001
WHITE HANGING HEART T-LIGHT HOLDER,36706,100392.1
ASSORTED COLOUR BIRD ORNAMENT,35263,56413.03
PACK OF 72 RETROSPOT CAKE CASES,33670,16381.88
POPCORN HOLDER,30919,23417.51
RABBIT NIGHT LIGHT,27153,51251.24
MINI PAINT SET VINTAGE ,26076,16039.24
PACK OF 12 LONDON TISSUES ,25329,7261.7699999999995
PACK OF 60 PINK PAISLEY CAKE CASES,24230,11611.0
BROCADE RING PURSE ,22927,5969.61
VICTORIAN GLASS HANGING T-LIGHT,22404,28735.36
ASSORTED COLOURS SILK FAN,21876,16044.44
RED  HARMONICA IN BOX ,20945,23756.43
JUMBO BAG PINK POLKADOT,20148,37254.36
SMALL POPCORN HOLDER,18241,13789.369999999999
60 TEATIME FAIRY CAKE CASES,17664,8604.619999999999
LUNCH BAG RED RETROSPOT,17576,27868.8
JUMBO BAG STRAWBERRY,16771,30569.32
HEART OF WICKER SMALL,16768,28217.09
GROW A FLYTRAP OR SUNFLOWER IN TIN,15940,17226.2
PAPER CHAIN KIT 50'S CHRISTMAS ,15591,42584.130000000005
COLOUR GLASS T-LIGHT HOLDER HANGING,15563,9566.51
PARTY BUNTING,15279,68785.23000000001
JAM MAKING SET PRINTED,15039,21147.55
PLACE SETTING WHITE HEART,14853,5912.19
60 CAKE CASES VINTAGE CHRISTMAS,14712,7405.2
PACK OF 72 SKULL CAKE CASES,14302,6855.46
SPACEBOY LUNCH BOX ,13908,24673.14
JUMBO BAG APPLES,13875,26426.3
VINTAGE SNAP CARDS,13329,10441.47
SMALL CHINESE STYLE SCISSOR,13328,4335.76
72 SWEETHEART FAIRY CAKE CASES,13029,6252.349999999999
ANTIQUE SILVER T-LIGHT GLASS,12949,15176.42
RED TOADSTOOL LED NIGHT LIGHT,12863,19831.71
RED RETROSPOT CHARLOTTE BAG,12805,10122.45
JUMBO  BAG BAROQUE BLACK WHITE,12771,23630.58
DISCO BALL CHRISTMAS DECORATION,12618,1397.04
JUMBO BAG ALPHABET,12533,24160.44
REGENCY CAKESTAND 3 TIER,12374,142264.75
SET/20 RED RETROSPOT PAPER NAPKINS ,12305,9649.99
PACK OF 60 DINOSAUR CAKE CASES,12106,5919.28
HOMEMADE JAM SCENTED CANDLES,12080,17504.2
PLEASE ONE PERSON METAL SIGN,11932,23865.820000000003
BUBBLEGUM RING ASSORTED,11891,4894.83
SET OF 4 PANTRY JELLY MOULDS,11769,14151.42
SET OF 60 PANTRY DESIGN CAKE CASES ,11661,5974.389999999999
TRAVEL CARD WALLET KEEP CALM,11645,4641.32
LUNCH BAG APPLE DESIGN,11530,18220.5
JUMBO STORAGE BAG SUKI,11513,21784.84
